,STUDYID,DOMAIN,TSSEQ,TSPARMCD,TSPARM,TSVAL,TSVAL1,TSVAL2,TSVAL3,TSVALCD,TSVCDREF,TSVCDVER,USUBJID
32,ABCD1234,TS,1.0,ROUTE,Route of Administration,ORAL,,,,C38288,CDISC,2016-03-25,
33,ABCD1234,TS,1.0,SEXPOP,Sex of Participants,BOTH,,,,C49636,CDISC,2016-03-25,
34,ABCD1234,TS,1.0,SPONSOR,Clinical Study Sponsor,GW Research Ltd,,,,,,,
35,ABCD1234,TS,1.0,SSTDTC,Study Start Date,2016-01,,,,ISO 8601,,,
36,ABCD1234,TS,1.0,SENDTC,Study End Date,2017-07,,,,ISO 8601,,,
37,ABCD1234,TS,1.0,STOPRULE,Study Stop Rules,NONE,,,,,,,
38,ABCD1234,TS,1.0,STYPE,Study Type,INTERVENTIONAL,,,,C98388,CDISC,2016-03-25,
39,ABCD1234,TS,1.0,TBLIND,Trial Blinding Schema,DOUBLE BLIND,,,,C15228,CDISC,2016-03-25,
40,ABCD1234,TS,1.0,TCNTRL,Control Type,PLACEBO,,,,C49648,CDISC,2016-03-25,
41,ABCD1234,TS,1.0,TDIGRP,Diagnosis Group,Epilepsy,,,,,,,
42,ABCD1234,TS,1.0,TINDTP,Trial Indication Type,TREATMENT,,,,C49656,CDISC,2016-03-25,
43,ABCD1234,TS,1.0,TITLE,Trial Title,"A PHASE 2, DOUBLE-BLIND, RANDOMIZED, PLACEBO-CONTROLLED PHARMACOKINETIC TRIAL IN TWO PARALLEL GROUPS TO INVESTIGATE POSSIBLE DRUG-DRUG INTERACTIONS BETWEEN STIRIPENTOL OR VALPROATE AND GWP42003-P IN",PATIENTS WITH EPILEPSY,,,,,,
44,ABCD1234,TS,1.0,TPHASE,Trial Phase Classification,PHASE II TRIAL,,,,C15601,CDISC,2016-03-25,
45,ABCD1234,TS,1.0,TRT,Investigational Therapy or Treatment,CANNABIDIOL,,,,19GBJ60SN5,UNII,,
46,ABCD1234,TS,1.0,TTYPE,Trial Type,EFFICACY,,,,C49666,CDISC,2016-03-25,
47,ABCD1234,TS,2.0,TTYPE,Trial Type,SAFETY,,,,C49667,CDISC,2016-03-25,
